start_time,stop_time,sat,start_L,stop_L,start_MLT,stop_MLT,lc_energy,lc_number,trap_energy,trap_number,alc_energy,alc_number,lc_relative_error,trap_relative_error,alc_relative_error,simulation_alc_energy,simulation_alc_number,lc_n_sectors,alc_n_sectors
2020-01-29T00:57:25.510,2020-01-29T00:57:34.116,A,4.602125263850489,4.739460387119816,21.666012003664815,21.668205046386444,46598.891356840904,18.325936662980883,2102.1969027946648,4.038954393444369,0.0,0.0,0.3175335253914141,0.5,Inf,0.0,0.0,5,5
2020-01-24T08:38:33.514,2020-01-24T08:38:42.466,A,3.152968293373901,3.2176045733850933,20.86478742931282,20.84724418315314,36558.0663902034,492.394632668134,0.0,0.0,0.0,0.0,0.13744638179900598,Inf,Inf,769.4251990884984,12.16568301194361,5,6
2020-01-24T08:39:06.327,2020-01-24T08:39:14.299,A,3.531759047402318,3.5987056139984346,20.76662503271895,20.750308409623294,2027.3368398852433,29.52367665029882,0.0,0.0,0.0,0.0,0.5937111240515522,Inf,Inf,0.0,0.0,5,5
2020-01-08T09:00:00.905,2020-01-08T09:00:09.617,B,1.0481669151836837,1.04806727681064,22.837649181724743,22.832279000319698,3.390886170041949e7,520011.3611613139,3.3412605759803988e7,511348.0427182455,3.355949630474507e7,513324.4907843598,0.009029821824443587,0.01099636070418896,0.009077124321275684,1.5052322421408047e6,23137.1236132013,4,4
2020-03-09T00:45:14.346,2020-03-09T00:45:22.817,B,6.431282313258542,6.70777168959241,19.873582847882798,19.868219786699346,2366.3848521501886,24.151814812681938,224739.07060191676,2245.248652642996,0.0,0.0,0.5,0.09627177501087598,Inf,0.0,0.0,5,5
2020-02-22T04:19:33.870,2020-02-22T04:19:42.270,B,NaN,NaN,10.664573424292405,10.627289487951485,3.844186348364914e7,591950.3007933078,3.1138229649660617e7,479277.8951583274,3.918723023407353e7,603114.4290046934,0.008462647985927151,0.00940561849249793,0.008282681238904374,2.366684178049187e6,36522.65429858853,5,5
2020-02-19T07:42:23.166,2020-02-19T07:42:31.534,B,NaN,NaN,11.856804415633984,11.803222960179513,3.2931564833280254e7,502205.9363481902,3.200691107576976e7,487595.87940529105,3.392073707819814e7,517036.22726356046,0.0101833766819184,0.009310180098592618,0.009942237010730923,2.841293267030942e6,43300.34086257068,5,5
2020-02-24T01:33:53.789,2020-02-24T01:34:02.213,B,NaN,NaN,9.140773304361593,9.130196260136843,4.471323781639798e7,685248.740957204,3.526389450795489e7,540474.8896298471,4.440117506884651e7,679957.4083057139,0.007884682484137158,0.00887239168830524,0.0078093036136727915,2.642932566530476e6,40448.455521828364,5,5
2020-02-26T01:55:14.966,2020-02-26T01:55:23.424,B,45.53680725358407,42.97081755123561,9.309493642859627,9.294141487890286,4.0003522372823596e7,609383.7944370564,3.322991002225443e7,506336.940180473,4.074155122739894e7,621024.0004020334,0.008313027470373264,0.009132190825811088,0.00813393844051252,2.466303977991548e6,37543.89348114707,5,5
2020-01-29T00:58:17.579,2020-01-29T00:58:26.178,A,6.382186120664096,6.713282083394198,21.68808741271623,21.690912177218195,41552.1684872342,567.1082123580998,593851.6683517594,7274.405130544676,983.8290280507877,10.041163378098439,0.13220322886990232,0.026069332904932487,3.1849332984353373,27705.61857125366,382.2019823067172,5,5
