start_time,stop_time,sat,start_L,stop_L,start_MLT,stop_MLT,lc_energy,lc_number,trap_energy,trap_number,alc_energy,alc_number,lc_relative_error,trap_relative_error,alc_relative_error,simulation_alc_energy,simulation_alc_number
2020-01-08T09:00:00.905,2020-01-08T09:00:09.617,B,1.0481669151836837,1.04806727681064,22.837649181724743,22.832279000319698,4.2185638006847076e7,646694.8912898144,3.3412605759803988e7,511348.0427182455,4.193810692911474e7,641601.168616552,0.008095093093941892,0.01099636070418896,0.008119651701043801,0.0,0.0
2020-01-08T09:00:09.755,2020-01-08T09:00:18.467,B,1.0480174576241181,1.048148411730272,22.829593909617174,22.824221670289848,5.821972491740547e7,890969.4863580775,0.0,0.0,5.9174428964027524e7,905963.9998310341,0.0073697195536248684,Inf,0.007226757716477596,4.229781911070354e7,630375.3834387661
2020-01-08T09:17:39.755,2020-01-08T09:17:48.467,B,6.403950112464731,6.7262222285551285,21.025648376803712,20.99680992775445,5.101100253499169e7,779628.842911424,3.3495033254328296e7,511766.86455306597,5.094289476866857e7,779161.7198310846,0.007363014570534989,0.008935356018077855,0.007366927948794367,7.55486679923789e6,112612.73551127312
2020-01-08T09:17:48.605,2020-01-08T09:17:57.317,B,6.888632952383152,7.276093115075426,20.982367475884164,20.95257748590894,5.091297626451653e7,777832.3559452061,3.444337227158828e7,506579.5708141953,5.1413642712981746e7,786574.9129321799,0.007369563255332976,0.008978681628744977,0.007334411086976124,7.5262661178144645e6,112220.84342153302
2020-01-08T09:17:57.455,2020-01-08T09:18:06.149,B,7.479521421446605,7.939743125164139,20.93754235825791,20.906853509932198,5.079170765872329e7,776166.0037865043,3.2815466043062918e7,500896.28657035856,5.144011079689672e7,786656.6318200723,0.007378872959820396,0.009025961710741864,0.007334525474139764,7.524070853057343e6,112256.11391016921
2020-01-08T09:18:06.293,2020-01-08T09:18:15.005,B,8.191956884946451,8.728513132642673,20.89115857140031,20.859337395129202,5.21699740795613e7,797505.9826088164,3.3581939821312375e7,512106.605432429,5.186623171904318e7,794033.0004058229,0.007285907012397384,0.008925644646994486,0.0073038110739323085,7.543844311179885e6,112508.22938578718
2020-01-08T09:18:15.143,2020-01-08T09:18:23.855,B,9.024811477202686,9.628927884285162,20.843008426963937,20.81010076278083,5.0268159758822545e7,766759.7978217585,3.3114642969077148e7,505873.6089145524,5.186635756741862e7,792477.3582354622,0.007417981227899389,0.008984655042473894,0.0073054259399014,7.423760103292385e6,110557.07938834692
2020-01-08T09:18:23.993,2020-01-08T09:18:32.705,B,9.957808364980652,10.615569326371633,20.79306546943331,20.758994882738264,5.101331342570969e7,779406.3645695307,3.404082167865428e7,519686.1258055639,5.177727726697132e7,792085.1513690846,0.007364661536027539,0.008871257258924809,0.007310575793739905,7.433643323013018e6,110816.11921534287
2020-01-08T09:18:32.843,2020-01-08T09:18:41.555,B,10.964174989058993,11.6628710801552,20.74123764774387,20.705668835330723,4.240344348050398e7,641582.2776828841,2.8569205784095097e7,431819.0885455779,5.014448208227058e7,765305.4058476625,0.008050468226122591,0.0096433946851776,0.007424900090041081,6.4163509494578745e6,94838.13573091272
2020-01-08T09:18:41.693,2020-01-08T09:18:50.405,B,12.021962231070475,12.754612440103054,20.687428150412085,20.65026923498584,3.1651484465955455e7,456477.5942207579,2.1046157897663265e7,298112.7573398901,4.6048373267713934e7,697170.1447847737,0.009354270160751904,0.011344374993131026,0.007752933708445462,4.924235847621881e6,68758.9630004374
2020-01-08T09:18:50.543,2020-01-08T09:18:59.255,B,13.123476650030378,13.883715665555169,20.631534519557096,20.592688641843278,3.867795423692834e7,578339.6358026529,2.5100490103049845e7,376318.4085926089,4.9516151110703155e7,755391.9589108073,0.008429966040420586,0.010244587821871475,0.007470450675024749,5.564849887998615e6,81166.69345484088
2020-01-08T09:18:59.393,2020-01-08T09:19:08.109,B,14.263835173317565,15.049876225472099,20.57326570298637,20.532786055969495,4.909642656956517e7,747134.3396913023,3.11575857149481e7,472707.2297125149,5.123433972501768e7,783708.0411035434,0.007503399438636227,0.009250316959885036,0.007346504970853525,6.927790534459782e6,102573.85892515891
2020-01-08T09:19:08.243,2020-01-08T09:19:16.951,B,15.443543821492192,16.25520999107287,20.51249545708487,20.470554432504343,5.029219193923852e7,768127.2606859589,3.3503075465854324e7,512180.1819331284,5.2235979068751626e7,798835.833726782,0.007408546769175999,0.008929608079757526,0.007272231870867183,7.248519428906134e6,107980.24758536246
2020-01-08T09:19:17.074,2020-01-08T09:19:25.792,B,16.664281956919815,17.505053992702365,20.4493948674469,20.405798727705942,5.196860190373364e7,795401.1601255196,3.4820308036032856e7,532959.2487988762,5.2569964356174484e7,804285.8899557164,0.007302587044286646,0.008773577903965149,0.007265419781252644,7.446576140538685e6,111267.16442752258
2020-01-08T09:19:25.930,2020-01-08T09:19:34.642,B,17.93364985509144,18.804221406851564,20.38352379325299,20.338311673844125,5.142002747484036e7,786454.7062693106,3.3756444343316e7,515945.0256150798,5.208458613436581e7,796714.2543608253,0.007334617817812585,0.008901422259301132,0.007289736138612882,7.351870991785544e6,109778.55555205156
2020-01-08T09:19:34.780,2020-01-08T09:19:43.492,B,19.254385842790878,20.15992411083024,20.314969177104967,20.268023472942357,5.189687200146803e7,793084.5761590741,3.41220817543886e7,521866.881247616,5.211811529261369e7,796963.8711593674,0.007303858383209046,0.008859803142434822,0.007288678303146621,6.706584532296418e6,99972.28800620891
2020-01-08T09:19:43.630,2020-01-08T09:19:52.342,B,20.632688133055023,21.578216177504665,20.24354995191101,20.194602909848314,5.139457088271024e7,786297.3202290635,3.422812562406366e7,523818.1033936535,5.184785370167854e7,794015.8504103024,0.007335571667863898,0.00884470190900287,0.007304810926437832,6.509755805164072e6,97101.88264315523
2020-01-08T09:19:52.480,2020-01-08T09:20:01.192,B,22.074230857397588,23.075072966460823,20.16912330895408,20.117782770443394,5.16952461705051e7,791450.4052362832,3.374883672841364e7,516291.6725048362,5.259082868715893e7,804869.4082992567,0.007314626839901609,0.008902696303490248,0.0072572618239701205,6.664907287618193e6,99685.64388266194
2020-01-08T09:20:01.330,2020-01-08T09:20:10.042,B,23.589243244357725,24.651078148800764,20.09154221169682,20.037671817548333,5.17649794583742e7,792424.4943853521,3.406507575384823e7,521311.9188096066,5.189111343356046e7,794110.1366480037,0.00730958274463961,0.008860863570970242,0.0073018874140838965,6.616077815030598e6,98925.79414344285
2020-01-08T09:20:10.177,2020-01-08T09:20:18.880,B,25.18342512504189,26.309188142729674,20.010683923373307,19.954230149161535,5.079265190538234e7,776065.1782554253,3.3552430625580795e7,513026.7504589092,5.1863831112820044e7,793516.5158630299,0.007379517361855531,0.008928868066053735,0.007306740518032512,6.460344592998579e6,96381.49747539341
2020-01-08T09:20:19.018,2020-01-08T09:20:27.730,B,26.872929596163555,28.06585251393613,19.92596013831028,19.86707666894039,5.1135086503205314e7,781458.7614770255,3.379087670922826e7,516568.7195031286,5.1839462970675126e7,792834.9981892112,0.007353862862422259,0.008902436103561114,0.007308318937385959,6.432841400401434e6,95978.05035694424
2020-01-08T09:20:27.868,2020-01-08T09:20:36.580,B,28.66884732893352,29.928738441083144,19.837400970692066,19.77616339397069,5.1495018421343364e7,787812.5700793052,3.3718483180451795e7,515417.7603392259,5.171263416460003e7,790743.2800860384,0.007329153027167283,0.008903749614467656,0.0073160516154155055,6.48553633554869e6,96892.0263946338
2020-01-08T09:20:36.718,2020-01-08T09:20:45.430,B,30.573933195665674,31.907093263226848,19.74501098880545,19.681333501683756,5.209472577520562e7,797749.3850359964,3.416093319264683e7,522206.6494879158,5.193760719356038e7,794905.0050519886,0.007287785785304776,0.008852617361169855,0.0072986730348440255,6.499596699628391e6,97117.29486436184
2020-01-08T09:20:45.568,2020-01-08T09:20:54.280,B,32.600482497285576,34.012286662893324,19.648634344595646,19.58243270641512,5.1228354459538676e7,783712.3761521352,3.420350963513659e7,523242.60235446075,5.224632291473533e7,799254.3823536283,0.007346737049960281,0.008849486782506091,0.0072805151385361136,6.377797611096166e6,95314.20659341213
2020-01-08T09:20:54.418,2020-01-08T09:21:03.130,B,34.75596595662252,36.24907656189257,19.548119240190303,19.479311475001808,5.207626922850064e7,796662.5741841675,3.46613710960272e7,530289.6322974514,5.2322673259691656e7,800661.8227642912,0.007290410895033414,0.008798921563791773,0.007273869884303805,6.552597706037189e6,97905.10179811917
2020-01-08T09:21:03.268,2020-01-08T09:21:11.961,B,37.046115769282395,38.63506071120082,19.443320472363055,19.37157027354323,5.072222354457052e7,775242.0498696358,3.3937070048892535e7,519064.93813014624,5.224147199590495e7,799198.3672366312,0.007382661650853402,0.008881561458534493,0.007280276532142904,6.448258802464099e6,96308.08793205509
2020-01-08T09:21:12.105,2020-01-08T09:21:20.817,B,39.47664100655765,41.19101773417166,19.334268771351567,19.25881880629711,5.177998707552685e7,791730.3095246066,3.398768920368978e7,519379.1720681903,5.160294036250329e7,789426.34745779,0.007309506429128373,0.008875453535752892,0.007322436824842327,6.511859862507808e6,97338.33649125136
