start_time,stop_time,sat,start_L,stop_L,start_MLT,stop_MLT,lc_energy,lc_number,trap_energy,trap_number,alc_energy,alc_number,lc_relative_error,trap_relative_error,alc_relative_error,simulation_alc_energy,simulation_alc_number
2020-03-04T10:14:37.506,2020-03-04T10:14:45.906,B,8.7034463998844,8.436084414167722,10.577777818967098,10.534551870299548,1.2046854072466448e6,12307.644694987353,2.927007274077043e6,26199.866649729487,154580.72139860783,1615.8017987175033,0.044207309173290056,0.02863487702634128,0.11538929122752292,164438.38676865544,1906.4930097992572
2020-03-04T10:14:45.879,2020-03-04T10:14:54.293,B,8.306956959455833,8.049763635237893,10.513552179429333,10.471912934671742,451517.66028440074,5219.114907535541,2.883643114128788e6,25425.085903948577,40325.96168331124,328.57295813955295,0.07368772030268816,0.028725046425574788,0.1449837999319165,82630.67272709856,1032.0559239940014
2020-03-04T10:14:54.267,2020-03-04T10:15:02.666,B,7.925377889888277,7.675936698478261,10.452037083011898,10.412178366851254,1.7058241723541552e6,18312.08249573488,4.062026915932362e6,33537.97321593843,189031.60098489444,1954.771790704216,0.03724679237098667,0.024421289070422708,0.10552204346784963,248982.57693651476,2941.135486671007
2020-03-04T10:15:02.656,2020-03-04T10:15:11.064,B,7.558005273016784,7.323266124991821,10.393190084287356,10.355377703887033,3.296921740720965e6,32899.270889542044,4.963849645925447e6,40159.57213742734,238624.2014092143,2350.299541304828,0.02704084031475262,0.022379130244575163,0.09766403766743588,443803.9582256702,4960.639363355164
2020-03-04T10:15:11.044,2020-03-04T10:15:19.443,B,7.208993447699182,6.989858066479448,10.336877861416106,10.301083914428387,66499.4928821985,817.8937845738567,519292.92294178467,4450.925892891278,0.0,0.0,0.19127108234526094,0.06489206945451913,Inf,10160.932642139207,140.35251031207767
2020-03-04T10:15:19.417,2020-03-04T10:15:27.831,B,6.880584543644621,6.674419179276896,10.283234990800718,10.248980015671561,0.0,0.0,141876.18676409795,1272.6004299462365,0.0,0.0,Inf,0.10854048810345693,Inf,0.0,0.0
2020-03-04T10:15:27.804,2020-03-04T10:15:36.204,B,6.572708292129431,6.377542677396402,10.232044785877571,10.199092802324813,0.0,0.0,240209.06285610978,2079.000449291823,0.0,0.0,Inf,0.08501242175351585,Inf,0.0,0.0
2020-03-04T10:15:36.197,2020-03-04T10:15:44.591,B,6.282472382474979,6.097741247658813,10.182885998869756,10.151136036913856,0.0,0.0,166512.64252695025,1786.919751096308,0.0,0.0,Inf,0.11699701074365583,Inf,0.0,0.0
2020-03-04T10:15:44.581,2020-03-04T10:15:52.984,B,6.009798023850841,5.83472449342691,10.135737026748659,10.105055653329561,0.0,0.0,50174.87169140937,549.8355492373821,0.0,0.0,Inf,0.2035409903596841,Inf,0.0,0.0
2020-03-04T10:15:52.969,2020-03-04T10:16:01.372,B,5.753522545267782,5.591205744353345,10.090419188633199,10.061161957987016,0.0,0.0,17984.38171458968,170.96693721305073,0.0,0.0,Inf,0.1872766056103378,Inf,0.0,0.0
2020-03-04T10:16:01.356,2020-03-04T10:16:09.756,B,5.5129945196891015,5.3629697796533335,10.046863069021438,10.018991103236644,0.0,0.0,4138.440359241604,42.237783979081755,0.0,0.0,Inf,0.35355338454246527,Inf,0.0,0.0
2020-03-04T10:16:09.729,2020-03-04T10:16:18.143,B,5.288199038601148,5.1485124674198275,10.00510001076874,9.978377618003105,0.0,0.0,0.0,0.0,0.0,0.0,Inf,Inf,Inf,0.0,0.0
2020-03-04T10:16:18.117,2020-03-04T10:16:26.516,B,5.079314072978001,4.947693186040189,9.965118801930005,9.939321120712874,0.0,0.0,0.0,0.0,0.0,0.0,Inf,Inf,Inf,0.0,0.0
2020-03-04T10:16:26.510,2020-03-04T10:16:34.904,B,4.8834134245306355,4.759299841857066,9.926566607857211,9.901611972652942,0.0,0.0,0.0,0.0,0.0,0.0,Inf,Inf,Inf,0.0,0.0
2020-03-04T10:16:34.897,2020-03-04T10:16:43.291,B,4.700082738346815,4.582885743727733,9.889422505407468,9.865254802448767,0.0,0.0,0.0,0.0,0.0,0.0,Inf,Inf,Inf,0.0,0.0
